sent_text,variable,label_issue,label_text,party,before,after
Zo komt een kiezer die op de stelling ' ja ' invult waarschijnlijk met enige verbazing tot de conclusie dat hij zich in één kamp bevindt met zowel FvD als PvdD .,issue position,Ja,issue_yes,FvD,Het leidt ertoe dat partijen die normaliter lijnrecht tegenover elkaar staan zo opeens onder hetzelfde eens- of oneenskamp vallen .,"De twee partijen , in de Kamer vrijwel volmaakte tegenpolen , zeker op het klimaatbeleid , zeiden allebei ja op de stelling , zij het dat FvD stelt dat ' er geen sprake is van een klimaatcrisis ' , en de PvdD die klimaatcrisis zo'n beetje het belangrijkste thema vindt ."
Zo komt een kiezer die op de stelling ' ja ' invult waarschijnlijk met enige verbazing tot de conclusie dat hij zich in één kamp bevindt met zowel FvD als PvdD .,conflict,Ja,issue_yes,FvD,Het leidt ertoe dat partijen die normaliter lijnrecht tegenover elkaar staan zo opeens onder hetzelfde eens- of oneenskamp vallen .,"De twee partijen , in de Kamer vrijwel volmaakte tegenpolen , zeker op het klimaatbeleid , zeiden allebei ja op de stelling , zij het dat FvD stelt dat ' er geen sprake is van een klimaatcrisis ' , en de PvdD die klimaatcrisis zo'n beetje het belangrijkste thema vindt ."
Zo komt een kiezer die op de stelling ' ja ' invult waarschijnlijk met enige verbazing tot de conclusie dat hij zich in één kamp bevindt met zowel FvD als PvdD .,succes en falen,Nee,issue_no,FvD,Het leidt ertoe dat partijen die normaliter lijnrecht tegenover elkaar staan zo opeens onder hetzelfde eens- of oneenskamp vallen .,"De twee partijen , in de Kamer vrijwel volmaakte tegenpolen , zeker op het klimaatbeleid , zeiden allebei ja op de stelling , zij het dat FvD stelt dat ' er geen sprake is van een klimaatcrisis ' , en de PvdD die klimaatcrisis zo'n beetje het belangrijkste thema vindt ."
"' SGP wil christelijke asielzoekers , CU geen rem op gezinshereniging ' ( AD 16-11 ) .",issue position,Ja,issue_yes,SGP,"Ben van der Hoeven , Amersfoort",Sommige vragen niet aan Timmermans gesteld
"' SGP wil christelijke asielzoekers , CU geen rem op gezinshereniging ' ( AD 16-11 ) .",conflict,Nee,issue_no,SGP,"Ben van der Hoeven , Amersfoort",Sommige vragen niet aan Timmermans gesteld
"' SGP wil christelijke asielzoekers , CU geen rem op gezinshereniging ' ( AD 16-11 ) .",succes en falen,Nee,issue_no,SGP,"Ben van der Hoeven , Amersfoort",Sommige vragen niet aan Timmermans gesteld
GroenLinks-PvdA gaan voor een jaar later .,issue position,Ja,issue_yes,GL/PvdA,Al komend jaar zou het minimumloon dan op 16 euro per uur moeten liggen .,Al ging dat niet van harte :
GroenLinks-PvdA gaan voor een jaar later .,conflict,Nee,issue_no,GL/PvdA,Al komend jaar zou het minimumloon dan op 16 euro per uur moeten liggen .,Al ging dat niet van harte :
GroenLinks-PvdA gaan voor een jaar later .,succes en falen,Nee,issue_no,GL/PvdA,Al komend jaar zou het minimumloon dan op 16 euro per uur moeten liggen .,Al ging dat niet van harte :
Demissionair klimaatminister Rob Jetten heeft het Zeeuwse Borssele uitgekozen als mogelijke plek voor twee nieuwe kerncentrales .,issue position,Ja,issue_yes,D66,""" Twee kerncentrales maken samen net zo veel energie als alle windmolens samen in 2030 . ""","Daar staat al een kerncentrale , die het kabinet langer wil openhouden ."
Demissionair klimaatminister Rob Jetten heeft het Zeeuwse Borssele uitgekozen als mogelijke plek voor twee nieuwe kerncentrales .,conflict,Nee,issue_no,D66,""" Twee kerncentrales maken samen net zo veel energie als alle windmolens samen in 2030 . ""","Daar staat al een kerncentrale , die het kabinet langer wil openhouden ."
Demissionair klimaatminister Rob Jetten heeft het Zeeuwse Borssele uitgekozen als mogelijke plek voor twee nieuwe kerncentrales .,succes en falen,Nee,issue_no,D66,""" Twee kerncentrales maken samen net zo veel energie als alle windmolens samen in 2030 . ""","Daar staat al een kerncentrale , die het kabinet langer wil openhouden ."
"Rechtse partijen ( BBB , Ja21 , NSC , VVD , BVNL en SGP ) stellen allemaal een asielquotum en een asielstop voor .",issue position,Ja,issue_yes,BBB,Dat zoveel partijen er desondanks van langs krijgen heeft met name te maken met de voorstellen op het gebied van migratie .,"Dat druist in tegen internationale verdragen , denk aan het VN-vluchtelingenverdrag ."
"Rechtse partijen ( BBB , Ja21 , NSC , VVD , BVNL en SGP ) stellen allemaal een asielquotum en een asielstop voor .",conflict,Nee,issue_no,BBB,Dat zoveel partijen er desondanks van langs krijgen heeft met name te maken met de voorstellen op het gebied van migratie .,"Dat druist in tegen internationale verdragen , denk aan het VN-vluchtelingenverdrag ."
"Rechtse partijen ( BBB , Ja21 , NSC , VVD , BVNL en SGP ) stellen allemaal een asielquotum en een asielstop voor .",succes en falen,Nee,issue_no,BBB,Dat zoveel partijen er desondanks van langs krijgen heeft met name te maken met de voorstellen op het gebied van migratie .,"Dat druist in tegen internationale verdragen , denk aan het VN-vluchtelingenverdrag ."
"Drie jaar terug , bij verkiezingen die ook verandering beloofden , een nieuwe ' bestuurscultuur ' zelfs , mocht ik kijken naar de nieuwe CDA-partijleider Wopke Hoekstra .",issue position,Nee,issue_no,CDA,"De nieuwe partijleider huldigt oude standpunten , zoals die over asielzoekers , waarvan je ook kunt zeggen dat ze haaks staan op christelijke waarden .",Daaraan is sinds Ruud Lubbers weinig veranderd .
"Drie jaar terug , bij verkiezingen die ook verandering beloofden , een nieuwe ' bestuurscultuur ' zelfs , mocht ik kijken naar de nieuwe CDA-partijleider Wopke Hoekstra .",conflict,Nee,issue_no,CDA,"De nieuwe partijleider huldigt oude standpunten , zoals die over asielzoekers , waarvan je ook kunt zeggen dat ze haaks staan op christelijke waarden .",Daaraan is sinds Ruud Lubbers weinig veranderd .
"Drie jaar terug , bij verkiezingen die ook verandering beloofden , een nieuwe ' bestuurscultuur ' zelfs , mocht ik kijken naar de nieuwe CDA-partijleider Wopke Hoekstra .",succes en falen,Nee,issue_no,CDA,"De nieuwe partijleider huldigt oude standpunten , zoals die over asielzoekers , waarvan je ook kunt zeggen dat ze haaks staan op christelijke waarden .",Daaraan is sinds Ruud Lubbers weinig veranderd .
"Al met al ’komen de grenzen van het elektriciteitsnetwerk in zicht’ , waarschuwde demissionair minister Jetten ( Klimaat en Energie ) half oktober .",issue position,Nee,issue_no,Overig,Maar de stikstofuitspraak van de Raad van State blokkeert behalve boeren ook de bouw van netwerkstations .,Netbeheerders lokken bedrijven met lagere tarieven al naar daluren .
"Al met al ’komen de grenzen van het elektriciteitsnetwerk in zicht’ , waarschuwde demissionair minister Jetten ( Klimaat en Energie ) half oktober .",conflict,Nee,issue_no,Overig,Maar de stikstofuitspraak van de Raad van State blokkeert behalve boeren ook de bouw van netwerkstations .,Netbeheerders lokken bedrijven met lagere tarieven al naar daluren .
"Al met al ’komen de grenzen van het elektriciteitsnetwerk in zicht’ , waarschuwde demissionair minister Jetten ( Klimaat en Energie ) half oktober .",succes en falen,Nee,issue_no,Overig,Maar de stikstofuitspraak van de Raad van State blokkeert behalve boeren ook de bouw van netwerkstations .,Netbeheerders lokken bedrijven met lagere tarieven al naar daluren .
"' Wij functioneren , net als Utrecht , als een soort Ter Apel voor Oekraïners ' , zegt verantwoordelijk wethouder Rutger Groot Wassink ( GroenLinks ) .",issue position,Nee,issue_no,GL/PvdA,"Amsterdam zag zich eerder deze maand genoodzaakt tot sluiting , omdat nergens in Nederland nog vrije opvangplekken waren waar de zojuist aangekomen vluchtelingen naartoe konden worden gebracht .","' Dat ging lang goed , tot er geen opvangplekken meer te verdelen vielen en onze eigen bedden ook uitgeput waren ."
"' Wij functioneren , net als Utrecht , als een soort Ter Apel voor Oekraïners ' , zegt verantwoordelijk wethouder Rutger Groot Wassink ( GroenLinks ) .",conflict,Nee,issue_no,GL/PvdA,"Amsterdam zag zich eerder deze maand genoodzaakt tot sluiting , omdat nergens in Nederland nog vrije opvangplekken waren waar de zojuist aangekomen vluchtelingen naartoe konden worden gebracht .","' Dat ging lang goed , tot er geen opvangplekken meer te verdelen vielen en onze eigen bedden ook uitgeput waren ."
"' Wij functioneren , net als Utrecht , als een soort Ter Apel voor Oekraïners ' , zegt verantwoordelijk wethouder Rutger Groot Wassink ( GroenLinks ) .",succes en falen,Ja,issue_yes,GL/PvdA,"Amsterdam zag zich eerder deze maand genoodzaakt tot sluiting , omdat nergens in Nederland nog vrije opvangplekken waren waar de zojuist aangekomen vluchtelingen naartoe konden worden gebracht .","' Dat ging lang goed , tot er geen opvangplekken meer te verdelen vielen en onze eigen bedden ook uitgeput waren ."
Zo werd Timmermans ( PvdA/GL) terecht op de vingers getikt door zowel de huidige coalitie- als oppositiepartijen over zijn uitglijder dat door het kabinet al duizend dagen niets aan het klimaat was gedaan .,issue position,Nee,issue_no,GL/PvdA,"Politieke kopstukken die in een strijd zijn verwikkeld om de grootste partij van het land te worden , tonen eindelijk scherpte , durven speldenprikken uit te delen en wijzen de ander op onwaarheden en zwaktes in het verkiezingsprogramma .",’Klein en kinderachtig’ noemde demissionair klimaatminister Jetten ( D66 ) de uitspraken .
Zo werd Timmermans ( PvdA/GL) terecht op de vingers getikt door zowel de huidige coalitie- als oppositiepartijen over zijn uitglijder dat door het kabinet al duizend dagen niets aan het klimaat was gedaan .,conflict,Ja,issue_yes,GL/PvdA,"Politieke kopstukken die in een strijd zijn verwikkeld om de grootste partij van het land te worden , tonen eindelijk scherpte , durven speldenprikken uit te delen en wijzen de ander op onwaarheden en zwaktes in het verkiezingsprogramma .",’Klein en kinderachtig’ noemde demissionair klimaatminister Jetten ( D66 ) de uitspraken .
Zo werd Timmermans ( PvdA/GL) terecht op de vingers getikt door zowel de huidige coalitie- als oppositiepartijen over zijn uitglijder dat door het kabinet al duizend dagen niets aan het klimaat was gedaan .,succes en falen,Nee,issue_no,GL/PvdA,"Politieke kopstukken die in een strijd zijn verwikkeld om de grootste partij van het land te worden , tonen eindelijk scherpte , durven speldenprikken uit te delen en wijzen de ander op onwaarheden en zwaktes in het verkiezingsprogramma .",’Klein en kinderachtig’ noemde demissionair klimaatminister Jetten ( D66 ) de uitspraken .
"Zo wil GroenLinks-PvdA het minimumloon ingrijpend verhogen , vindt de VVD dat de ' hardwerkende Nederlander ' goedkoop moet kunnen blijven tanken en staat bij de Partij voor de Dieren de bestaanszekerheid voor de ' mens van morgen ' centraal .",issue position,Ja,issue_yes,GL/PvdA,"Zo zijn de afgelopen decennia wel 27 inkomensondersteunende maatregelen opgetuigd , variërend van toeslagen tot de ( bijzondere ) bijstand .","Wie waar recht op heeft , is lang niet altijd duidelijk ."
"Zo wil GroenLinks-PvdA het minimumloon ingrijpend verhogen , vindt de VVD dat de ' hardwerkende Nederlander ' goedkoop moet kunnen blijven tanken en staat bij de Partij voor de Dieren de bestaanszekerheid voor de ' mens van morgen ' centraal .",conflict,Nee,issue_no,GL/PvdA,"Zo zijn de afgelopen decennia wel 27 inkomensondersteunende maatregelen opgetuigd , variërend van toeslagen tot de ( bijzondere ) bijstand .","Wie waar recht op heeft , is lang niet altijd duidelijk ."
"Zo wil GroenLinks-PvdA het minimumloon ingrijpend verhogen , vindt de VVD dat de ' hardwerkende Nederlander ' goedkoop moet kunnen blijven tanken en staat bij de Partij voor de Dieren de bestaanszekerheid voor de ' mens van morgen ' centraal .",succes en falen,Nee,issue_no,GL/PvdA,"Zo zijn de afgelopen decennia wel 27 inkomensondersteunende maatregelen opgetuigd , variërend van toeslagen tot de ( bijzondere ) bijstand .","Wie waar recht op heeft , is lang niet altijd duidelijk ."
Tijdens het RTL-debat botsten PVV-leider Wilders en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus .,issue position,Nee,issue_no,PVV,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd , maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie .","„ Er is een belangrijke reden waarom je statushouders een huis geeft , we willen dat ze meedoen” , zei Jetten over huisvesten met voorrang ."
Tijdens het RTL-debat botsten PVV-leider Wilders en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus .,conflict,Ja,issue_yes,PVV,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd , maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie .","„ Er is een belangrijke reden waarom je statushouders een huis geeft , we willen dat ze meedoen” , zei Jetten over huisvesten met voorrang ."
Tijdens het RTL-debat botsten PVV-leider Wilders en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus .,succes en falen,Nee,issue_no,PVV,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd , maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie .","„ Er is een belangrijke reden waarom je statushouders een huis geeft , we willen dat ze meedoen” , zei Jetten over huisvesten met voorrang ."
"Thierry Baudet van Forum voor Democratie wil een nexit , Laurens Dassen van Volt een Verenigde Staten van Europa .",issue position,Ja,issue_yes,FvD,"Au fond willen wij dat alle winkeliers zelf hun betaalmiddel kiezen . ""","Dus als ik zeg , ik heb hier twee appels ... ."
"Thierry Baudet van Forum voor Democratie wil een nexit , Laurens Dassen van Volt een Verenigde Staten van Europa .",conflict,Nee,issue_no,FvD,"Au fond willen wij dat alle winkeliers zelf hun betaalmiddel kiezen . ""","Dus als ik zeg , ik heb hier twee appels ... ."
"Thierry Baudet van Forum voor Democratie wil een nexit , Laurens Dassen van Volt een Verenigde Staten van Europa .",succes en falen,Nee,issue_no,FvD,"Au fond willen wij dat alle winkeliers zelf hun betaalmiddel kiezen . ""","Dus als ik zeg , ik heb hier twee appels ... ."
"BBB ondersteunt , in ieder geval op papier , de klimaatdoelstellingen in het Parijsakkoord .",issue position,Ja,issue_yes,BBB,Best een openbaring voor iemand die populistische termen als klimaathysterie niet schuwt .,"Net als het klimaatconservatieve NSC van Pieter Omtzigt , met wie Van der Plas zo dolgraag samen wil ."
"BBB ondersteunt , in ieder geval op papier , de klimaatdoelstellingen in het Parijsakkoord .",conflict,Nee,issue_no,BBB,Best een openbaring voor iemand die populistische termen als klimaathysterie niet schuwt .,"Net als het klimaatconservatieve NSC van Pieter Omtzigt , met wie Van der Plas zo dolgraag samen wil ."
"BBB ondersteunt , in ieder geval op papier , de klimaatdoelstellingen in het Parijsakkoord .",succes en falen,Nee,issue_no,BBB,Best een openbaring voor iemand die populistische termen als klimaathysterie niet schuwt .,"Net als het klimaatconservatieve NSC van Pieter Omtzigt , met wie Van der Plas zo dolgraag samen wil ."
„ Ze zagen niet in dat ze aan de leiband van Moskou liepen .” PvdA-voorzitter Ien van den Heuvel noemde de Muur „ historisch juist” en meende dat een linkse dictatuur beter was dan een rechtse .,issue position,Ja,issue_yes,GL/PvdA,de oorlog in Oekraïne is voor de orde in Europa van groter belang dan het conflict in Gaza.”,„ Zo diep was het Sovjet-narratief geworteld.”
„ Ze zagen niet in dat ze aan de leiband van Moskou liepen .” PvdA-voorzitter Ien van den Heuvel noemde de Muur „ historisch juist” en meende dat een linkse dictatuur beter was dan een rechtse .,conflict,Nee,issue_no,GL/PvdA,de oorlog in Oekraïne is voor de orde in Europa van groter belang dan het conflict in Gaza.”,„ Zo diep was het Sovjet-narratief geworteld.”
„ Ze zagen niet in dat ze aan de leiband van Moskou liepen .” PvdA-voorzitter Ien van den Heuvel noemde de Muur „ historisch juist” en meende dat een linkse dictatuur beter was dan een rechtse .,succes en falen,Nee,issue_no,GL/PvdA,de oorlog in Oekraïne is voor de orde in Europa van groter belang dan het conflict in Gaza.”,„ Zo diep was het Sovjet-narratief geworteld.”
"Daarom wil demissionair minister van Onderwijs , Cultuur en Wetenschap Robbert Dijkgraaf ( D66 ) de instroom van buitenlandse studenten zo snel mogelijk inperken .",issue position,Ja,issue_yes,Overig,Uit een rondgang van NRC in 2022 bleek dat universiteiten niet meer willen groeien .,"Maar dat is lastig , universiteiten mogen studenten afkomstig uit de Europese Unie niet weigeren op basis van nationaliteit ."
"Daarom wil demissionair minister van Onderwijs , Cultuur en Wetenschap Robbert Dijkgraaf ( D66 ) de instroom van buitenlandse studenten zo snel mogelijk inperken .",conflict,Nee,issue_no,Overig,Uit een rondgang van NRC in 2022 bleek dat universiteiten niet meer willen groeien .,"Maar dat is lastig , universiteiten mogen studenten afkomstig uit de Europese Unie niet weigeren op basis van nationaliteit ."
"Daarom wil demissionair minister van Onderwijs , Cultuur en Wetenschap Robbert Dijkgraaf ( D66 ) de instroom van buitenlandse studenten zo snel mogelijk inperken .",succes en falen,Nee,issue_no,Overig,Uit een rondgang van NRC in 2022 bleek dat universiteiten niet meer willen groeien .,"Maar dat is lastig , universiteiten mogen studenten afkomstig uit de Europese Unie niet weigeren op basis van nationaliteit ."
Zeker kiezers van NSC geven aan dat de thema's ' betrouwbaarheid van de overheid ' en ' normen en waarden ' een belangrijke rol spelen .,issue position,Ja,issue_yes,NSC,"Hoewel de oorlog tussen Hamas en Israël veelvuldig wordt besproken in de verkiezingscampagne , speelt het conflict een bescheiden rol bij de stemkeuze van kiezers .","Voor ruim twee derde van de kiezers van GroenLinks/PvdA-kiezers is het klimaat juist een veel belangrijker stemmotief , terwijl slechts een kwart van de VVD'ers dat zo ziet ."
Zeker kiezers van NSC geven aan dat de thema's ' betrouwbaarheid van de overheid ' en ' normen en waarden ' een belangrijke rol spelen .,conflict,Nee,issue_no,NSC,"Hoewel de oorlog tussen Hamas en Israël veelvuldig wordt besproken in de verkiezingscampagne , speelt het conflict een bescheiden rol bij de stemkeuze van kiezers .","Voor ruim twee derde van de kiezers van GroenLinks/PvdA-kiezers is het klimaat juist een veel belangrijker stemmotief , terwijl slechts een kwart van de VVD'ers dat zo ziet ."
Zeker kiezers van NSC geven aan dat de thema's ' betrouwbaarheid van de overheid ' en ' normen en waarden ' een belangrijke rol spelen .,succes en falen,Nee,issue_no,NSC,"Hoewel de oorlog tussen Hamas en Israël veelvuldig wordt besproken in de verkiezingscampagne , speelt het conflict een bescheiden rol bij de stemkeuze van kiezers .","Voor ruim twee derde van de kiezers van GroenLinks/PvdA-kiezers is het klimaat juist een veel belangrijker stemmotief , terwijl slechts een kwart van de VVD'ers dat zo ziet ."
Dat schrijft minister Robbert Dijkgraaf ( onderwijs ) aan de Tweede Kamer .,issue position,Nee,issue_no,Overig,"Het is technisch niet haalbaar om de studierente voor studenten die onder het leenstelsel vielen , volgend jaar te bevriezen op het niveau van 2023 .",Die had hem hiertoe eerder in een motie opgeroepen ; een Kamermeerderheid schaarde zich eind oktober achter een voorstel van GroenLinks-PvdA en ChristenUnie .
Dat schrijft minister Robbert Dijkgraaf ( onderwijs ) aan de Tweede Kamer .,conflict,Nee,issue_no,Overig,"Het is technisch niet haalbaar om de studierente voor studenten die onder het leenstelsel vielen , volgend jaar te bevriezen op het niveau van 2023 .",Die had hem hiertoe eerder in een motie opgeroepen ; een Kamermeerderheid schaarde zich eind oktober achter een voorstel van GroenLinks-PvdA en ChristenUnie .
Dat schrijft minister Robbert Dijkgraaf ( onderwijs ) aan de Tweede Kamer .,succes en falen,Nee,issue_no,Overig,"Het is technisch niet haalbaar om de studierente voor studenten die onder het leenstelsel vielen , volgend jaar te bevriezen op het niveau van 2023 .",Die had hem hiertoe eerder in een motie opgeroepen ; een Kamermeerderheid schaarde zich eind oktober achter een voorstel van GroenLinks-PvdA en ChristenUnie .
"In de Ahoy in Rotterdam gaan VVD , NSC , GL-PvdA , PVV , D66 en BBB met elkaar in gesprek over onder meer migratie , klimaat en bestaanszekerheid .",issue position,Nee,issue_no,VVD,De lijsttrekkers van de zes grootst gepeilde partijen nemen vandaag deel aan het verkiezingsdebat van EenVandaag .,Politiek verslaggever Nynke de Zoeten volgt het debat voor Nieuwsuur .
"In de Ahoy in Rotterdam gaan VVD , NSC , GL-PvdA , PVV , D66 en BBB met elkaar in gesprek over onder meer migratie , klimaat en bestaanszekerheid .",conflict,Nee,issue_no,VVD,De lijsttrekkers van de zes grootst gepeilde partijen nemen vandaag deel aan het verkiezingsdebat van EenVandaag .,Politiek verslaggever Nynke de Zoeten volgt het debat voor Nieuwsuur .
"In de Ahoy in Rotterdam gaan VVD , NSC , GL-PvdA , PVV , D66 en BBB met elkaar in gesprek over onder meer migratie , klimaat en bestaanszekerheid .",succes en falen,Nee,issue_no,VVD,De lijsttrekkers van de zes grootst gepeilde partijen nemen vandaag deel aan het verkiezingsdebat van EenVandaag .,Politiek verslaggever Nynke de Zoeten volgt het debat voor Nieuwsuur .
"PVV , SP , PvdD , BBB , Denk , BIJ1 en NSC zijn kritisch over de ‘modellenwerkelijkheid’ van het CPB en leverden hun plannen niet in .",issue position,Nee,issue_no,PVV,Doorrekening verkiezingsprogramma’s,"Ook bij de landbouw is de mogelijke consequentie van strenger beleid dat agrarische bedrijvigheid zich naar het buitenland verplaatst en daar de biodiversiteit onder druk zet , – zeker als niet tegelijkertijd de consumptie van zuivel en vlees in Nederland vermindert ."
"PVV , SP , PvdD , BBB , Denk , BIJ1 en NSC zijn kritisch over de ‘modellenwerkelijkheid’ van het CPB en leverden hun plannen niet in .",conflict,Nee,issue_no,PVV,Doorrekening verkiezingsprogramma’s,"Ook bij de landbouw is de mogelijke consequentie van strenger beleid dat agrarische bedrijvigheid zich naar het buitenland verplaatst en daar de biodiversiteit onder druk zet , – zeker als niet tegelijkertijd de consumptie van zuivel en vlees in Nederland vermindert ."
"PVV , SP , PvdD , BBB , Denk , BIJ1 en NSC zijn kritisch over de ‘modellenwerkelijkheid’ van het CPB en leverden hun plannen niet in .",succes en falen,Nee,issue_no,PVV,Doorrekening verkiezingsprogramma’s,"Ook bij de landbouw is de mogelijke consequentie van strenger beleid dat agrarische bedrijvigheid zich naar het buitenland verplaatst en daar de biodiversiteit onder druk zet , – zeker als niet tegelijkertijd de consumptie van zuivel en vlees in Nederland vermindert ."
"Behalve agendasetting op thema's rond immigratie , islam en EU-kritiek hebben Wilders en zijn PVV-collega's niets bereikt .",issue position,Ja,issue_yes,PVV,"Hermen de Graaf , oud-CDA-Statenlid Kudelstaart","Wel souperen ze een aardig bedrag op , alleen aan salarissen al 2,2 miljoen euro per jaar ."
"Behalve agendasetting op thema's rond immigratie , islam en EU-kritiek hebben Wilders en zijn PVV-collega's niets bereikt .",conflict,Nee,issue_no,PVV,"Hermen de Graaf , oud-CDA-Statenlid Kudelstaart","Wel souperen ze een aardig bedrag op , alleen aan salarissen al 2,2 miljoen euro per jaar ."
"Behalve agendasetting op thema's rond immigratie , islam en EU-kritiek hebben Wilders en zijn PVV-collega's niets bereikt .",succes en falen,Ja,issue_yes,PVV,"Hermen de Graaf , oud-CDA-Statenlid Kudelstaart","Wel souperen ze een aardig bedrag op , alleen aan salarissen al 2,2 miljoen euro per jaar ."
Volt .,issue position,Ja,issue_yes,Volt,Eén partij werpt zich wel blijmoedig op als kampioen onderwijs :,"Of Volt Nederland , want het is een Europese partij met een filiaal hier ."
Volt .,conflict,Nee,issue_no,Volt,Eén partij werpt zich wel blijmoedig op als kampioen onderwijs :,"Of Volt Nederland , want het is een Europese partij met een filiaal hier ."
Volt .,succes en falen,Nee,issue_no,Volt,Eén partij werpt zich wel blijmoedig op als kampioen onderwijs :,"Of Volt Nederland , want het is een Europese partij met een filiaal hier ."
